㓦划	㓦劃
万灵丹	万霊丹
万灵节	万霊節
万灵药	万霊薬
万点	万点
万点大关	万点大関
万物	万物
万物之灵	万物之霊
万状	万状
万用	万用
万用字元	万用字元
万用手冊	万用手冊
万用电表	万用電表
万用表	万用表
万盛	万盛
万盛区	万盛区
万盛溪	万盛渓
万目睽睽	万目睽睽
万石	万石
万福	万福
万福玛丽亚	万福瑪麗亜
万秀区	万秀区
万种	万種
万种风情	万種風情
万窍	万竅
万端	万端
万签插架	万籤挿架
万箭攒心	万箭攢心
万箭穿心	万箭穿心
万箭穿身	万箭穿身
万箱	万箱
万籁	万籟
万籁俱寂	万籟俱寂
万籁无声	万籟無声
万籤插架	万籤挿架
万米	万米
万米长跑	万米長跑
万紫千红	万紫千紅
万红千紫	万紅千紫
万绪千头	万緒千頭
万绪千端	万緒千端
万维网	万維網
万绿丛中	万緑叢中
万缕千丝	万縷千糸
万缘	万縁
万能	万能
万能工专	万能工専
万能曲尺	万能曲尺
万能梗	万能梗
万能梗犬	万能梗犬
万能胶	万能膠
万能选手	万能選手
万能钥匙	万能鑰匙
万能锅	万能鍋
万般	万般
万般皆下品	万般皆下品
万般皆是命	万般皆是命
万艾可	万艾可
万花争艳	万花争豔
万花筒	万花筒
万苦千辛	万苦千辛
万荣乡	万栄郷
万荣县	万栄県
万虑俱清	万慮俱清
万言	万言
万言书	万言書
万语千言	万語千言
万象	万象
万象包罗	万象包羅
万象更新	万象更新
万象森罗	万象森羅
万贯	万貫
万贯家产	万貫家産
万贯家私	万貫家私
万贯家财	万貫家財
万载千秋	万載千秋
万载县	万載県
万道	万道
万那杜	万那杜
万邦	万邦
万部	万部
万里	万里
万里之望	万里之望
万里乡	万里郷
万里侯	万里侯
万里同风	万里同風
万里封侯	万里封侯
万里无云	万里無雲
万里春愁直	万裏春愁直
万里晴空	万里晴空
万里江山	万里江山
万里迢迢	万里迢迢
万里追踪	万里追蹤
万里长城	万里長城
万里长征	万里長征
万里长江	万里長江
万里长空	万里長空
万里鹏程	万里鵬程
万里鹏翼	万里鵬翼
万重	万重
万重山	万重山
万金	万金
万金不换	万金不換
万金之躯	万金之軀
万金油	万金油
万钧	万鈞
万钧之力	万鈞之力
万锺	万鍾
万难	万難
万顷	万頃
万顷琉璃	万頃琉璃
万顷碧波	万頃碧波
万馀	万余
万马	万馬
万马千军	万馬千軍
万马奔腾	万馬奔騰
万马皆瘖	万馬皆瘖
万马齐喑	万馬斉喑
万马齐瘖	万馬斉瘖
万鸦老	万鴉老
万齐融	万斉融
丈余	丈余
丈八灯台	丈八灯台
丈母娘	丈母嬢
三万	三万
三个	三個
三个鼻子管	三個鼻子管
三丰	三豊
三仙台	三仙台
三代同堂	三代同堂
三余	三余
三元合金	三元合金
三元里	三元里
三克	三克
三党	三党
三八制	三八制
三冬	三冬
三冬两夏	三冬両夏
三准	三準
三出戏	三齣戯
三出祁山	三出祁山
三分钟	三分鐘
三只	三隻
三只手	三隻手
三台	三台
三台县	三台県
三台联播	三台連播
三叶期	三葉期
三叶松	三葉松
三叶草	三葉草
三叶虫	三葉虫
三叹	三嘆
三合会	三合会
三合土	三合土
三合房	三合房
三合星	三合星
三合板	三合板
三合院	三合院
三同	三同
三向	三向
三周	三週
三周年	三週年
三呼万岁	三呼万歳
三回两转	三回両転
三回九曲	三回九曲
三回九转	三回九転
三回五次	三回五次
三回五转	三回五転
三国志	三国志
三坛大戒	三壇大戒
三复	三複
三复斯言	三復斯言
三复白圭	三復白圭
三大发明	三大発明
三大差别	三大差別
三天后	三天後
三头两面	三頭両面
三头马车制	三頭馬車制
三夹板	三夾板
三娘教子	三嬢教子
三对三斗牛	三対三闘牛
三对六面	三対六面
三尸	三尸
三尸神	三尸神
三年制	三年制
三弦	三絃
三征七辟	三徴七辟
三思台	三思台
三思而后	三思而後
三思而后行	三思而後行
三恶道	三悪道
三战两胜	三戦両勝
三才	三才
三才图会	三才図会
三扎	三紮
三折肱	三折肱
三折肱为良医	三折肱為良医
三振出局	三振出局
三方面	三方面
三日不读书面目可憎	三日不読書面目可憎
三星集团	三星集団
三月里的桃花	三月裏的桃花
三杆	三杆
三杠	三槓
三杯	三杯
三杯和万事	三杯和万事
三杯鸡	三杯鶏
三板	三板
三极	三極
三极真空	三極真空
三极管	三極管
三次曲线	三次曲線
三段制	三段制
三江并流	三江並流
三浴三熏	三浴三熏
三涂	三塗
三点钟	三点鐘
三熏三沐	三熏三沐
三班制	三班制
三瓦两舍	三瓦両舎
三瓦四舍	三瓦四舎
三生有幸	三生有幸
三用表	三用表
三番四复	三番四復
三百万	三百万
三百个	三百個
三百千千	三百千千
三百多万	三百多万
三百馀万	三百余万
三秋	三秋
三秒钟	三秒鐘
三穗	三穂
三穗县	三穂県
三级三审制	三級三審制
三结合	三結合
三统历	三統暦
三统历史	三統歴史
三胜制	三勝制
三脚采茶戏	三脚採茶戯
三舍	三舎
三苏	三蘇
三表	三表
三角关系	三角関係
三角套汇	三角套匯
三角巾包扎法	三角巾包紮法
三角板	三角板
三角表	三角表
三辟	三辟
三连胜	三連勝
三部合唱	三部合唱
三部曲	三部曲
三里	三裏
三里屯	三里屯
三里河	三里河
三针	三針
三长制	三長制
三门干部	三門幹部
三青团	三青団
三面	三面
三面亚当	三面亜当
三面体	三面体
三面夏娃	三面夏娃
三面红旗	三面紅旗
三面网	三面網
三面角	三面角
三马同槽	三馬同槽
三鹿集团	三鹿集団
上一个	上一個
上万	上万
上上个月	上上個月
上下五千年	上下五千年
上下交困	上下交困
上下同心	上下同心
上下游	上下游
上不了	上不了
上不了台面	上不了檯面
上不得台盘	上不得檯盤
上个星期	上個星期
上个月	上個月
上中下游	上中下游
上了	上了
上了岁数	上了歳数
上了年纪	上了年紀
上党	上党
上党梆子	上党梆子
上冲	上衝
上冲下洗	上沖下洗
上千	上千
上千万	上千万
上千人	上千人
上升	上升
